numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2020,1,,Leônidas Cristino,PDT,CE,TELEFONIA,00000000000006,RAMAL,7.67,0.00,7.67
2020,1,,Roberto Pessoa,PSDB,CE,TELEFONIA,00000000000006,RAMAL,22.44,0.00,22.44
2020,1,,Júlio Cesar,PSD,PI,TELEFONIA,00000000000006,RAMAL,16.10,0.00,16.10
2020,1,,Paes Landim,PTB,PI,TELEFONIA,00000000000006,RAMAL,7.00,0.00,7.00
2020,1,,Nilson Pinto,PSDB,PA,TELEFONIA,00000000000006,RAMAL,1.60,0.00,1.60
2020,1,,Silas Câmara,REPUBLICANOS,AM,TELEFONIA,00000000000006,RAMAL,58.19,0.00,58.19
2020,1,,João Campos,REPUBLICANOS,GO,TELEFONIA,00000000000006,RAMAL,1.54,0.00,1.54
2020,1,,Rubens Otoni,PT,GO,TELEFONIA,00000000000006,RAMAL,41.00,0.00,41.00
2020,1,,Gonzaga Patriota,PSB,PE,TELEFONIA,00000000000006,RAMAL,35.13,0.00,35.13
2020,1,,Vander Loubet,PT,MS,TELEFONIA,00000000000006,RAMAL,16.61,0.00,16.61
2020,1,,Giacobo,PL,PR,TELEFONIA,00000000000006,RAMAL,17.80,0.00,17.80
2020,1,,Maria do Rosário,PT,RS,TELEFONIA,00000000000006,RAMAL,8.71,0.00,8.71
2020,1,,Paulo Pimenta,PT,RS,TELEFONIA,00000000000006,RAMAL,5.98,0.00,5.98
2020,1,,Wolney Queiroz,PDT,PE,TELEFONIA,00000000000006,RAMAL,7.58,0.00,7.58
2020,1,,Átila Lira,PP,PI,TELEFONIA,00000000000006,RAMAL,2.91,0.00,2.91
2020,1,,Damião Feliciano,PDT,PB,TELEFONIA,00000000000006,RAMAL,17.84,0.00,17.84
2020,1,,André de Paula,PSD,PE,TELEFONIA,00000000000006,RAMAL,10.74,0.00,10.74
2020,1,,Luciano Bivar,PSL,PE,TELEFONIA,00000000000006,RAMAL,1.58,0.00,1.58
2020,1,,Claudio Cajado,PP,BA,TELEFONIA,00000000000006,RAMAL,26.12,0.00,26.12
2020,1,,José Rocha,PL,BA,TELEFONIA,00000000000006,RAMAL,12.90,0.00,12.90
2020,1,,Paulo Magalhães,PSD,BA,TELEFONIA,00000000000006,RAMAL,15.55,0.00,15.55
2020,1,,Lincoln Portela,PL,MG,TELEFONIA,00000000000006,RAMAL,2.91,0.00,2.91
2020,1,,Aécio Neves,PSDB,MG,TELEFONIA,00000000000006,RAMAL,5.18,0.00,5.18
2020,1,,Eduardo Barbosa,PSDB,MG,TELEFONIA,00000000000006,RAMAL,7.08,0.00,7.08
2020,1,,Rodrigo Maia,DEM,RJ,TELEFONIA,00000000000006,RAMAL,12.00,0.00,12.00
2020,1,,Mauro Lopes,MDB,MG,TELEFONIA,00000000000006,RAMAL,13.75,0.00,13.75
2020,1,,Luiza Erundina,PSOL,SP,TELEFONIA,00000000000006,RAMAL,8.99,0.00,8.99
2020,1,,Jandira Feghali,PCdoB,RJ,TELEFONIA,00000000000006,RAMAL,7.78,0.00,7.78
2020,1,,Maurício Dziedricki,PTB,RS,TELEFONIA,00000000000006,RAMAL,3.67,0.00,3.67
2020,1,,Marcelo Freixo,PSOL,RJ,TELEFONIA,00000000000006,RAMAL,0.01,0.00,0.01
2020,1,,Márcio Jerry,PCdoB,MA,TELEFONIA,00000000000006,RAMAL,7.11,0.00,7.11
2020,1,,Chico D'Angelo,PDT,RJ,TELEFONIA,00000000000006,RAMAL,1.47,0.00,1.47
2020,1,,Dra. Soraya Manato,PSL,ES,TELEFONIA,00000000000006,RAMAL,3.56,0.00,3.56
2020,1,,Pedro Augusto Bezerra,PTB,CE,TELEFONIA,00000000000006,RAMAL,22.62,0.00,22.62
2020,1,,Santini,PTB,RS,TELEFONIA,00000000000006,RAMAL,1.54,0.00,1.54
2020,1,,Leur Lomanto Júnior,DEM,BA,TELEFONIA,00000000000006,RAMAL,1.62,0.00,1.62
2020,1,,Eduardo Bolsonaro,PSL,SP,TELEFONIA,00000000000006,RAMAL,4.28,0.00,4.28
2020,1,,Fernando Monteiro,PP,PE,TELEFONIA,00000000000006,RAMAL,4.66,0.00,4.66
2020,1,,Stefano Aguiar,PSD,MG,TELEFONIA,00000000000006,RAMAL,7.85,0.00,7.85
2020,1,,Hugo Leal,PSD,RJ,TELEFONIA,00000000000006,RAMAL,6.81,0.00,6.81
2020,1,,Cacá Leão,PP,BA,TELEFONIA,00000000000006,RAMAL,2.69,0.00,2.69
2020,1,,Lafayette de Andrada,REPUBLICANOS,MG,TELEFONIA,00000000000006,RAMAL,7.90,0.00,7.90
2020,1,,Gleisi Hoffmann,PT,PR,TELEFONIA,00000000000006,RAMAL,10.36,0.00,10.36
2020,1,,Jaqueline Cassol,PP,RO,TELEFONIA,00000000000006,RAMAL,3.45,0.00,3.45
2020,1,,Benes Leocádio,REPUBLICANOS,RN,TELEFONIA,00000000000006,RAMAL,2.70,0.00,2.70
2020,1,,Vinicius Carvalho,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,2.83,0.00,2.83
2020,1,,João Marcelo Souza,MDB,MA,TELEFONIA,00000000000006,RAMAL,6.86,0.00,6.86
2020,1,,Gelson Azevedo,PL,RJ,TELEFONIA,00000000000006,RAMAL,2.11,0.00,2.11
2020,1,,Darci de Matos,PSD,SC,TELEFONIA,00000000000006,RAMAL,5.41,0.00,5.41
2020,1,,Adriano do Baldy,PP,GO,TELEFONIA,00000000000006,RAMAL,19.41,0.00,19.41
2020,1,,Pedro Paulo,DEM,RJ,TELEFONIA,00000000000006,RAMAL,0.11,0.00,0.11
2020,1,,Ronaldo Martins,REPUBLICANOS,CE,TELEFONIA,00000000000006,RAMAL,6.54,0.00,6.54
2020,1,,Pedro Lucas Fernandes,PTB,MA,TELEFONIA,00000000000006,RAMAL,21.44,0.00,21.44
2020,1,,Enio Verri,PT,PR,TELEFONIA,00000000000006,RAMAL,3.80,0.00,3.80
2020,1,,Lídice da Mata,PSB,BA,TELEFONIA,00000000000006,RAMAL,31.57,0.00,31.57
2020,1,,André Figueiredo,PDT,CE,TELEFONIA,00000000000006,RAMAL,3.39,0.00,3.39
2020,1,,Marcelo Moraes,PTB,RS,TELEFONIA,00000000000006,RAMAL,21.37,0.00,21.37
2020,1,,Paulo Ramos,PDT,RJ,TELEFONIA,00000000000006,RAMAL,1.04,0.00,1.04
2020,1,,Edmilson Rodrigues,PSOL,PA,TELEFONIA,00000000000006,RAMAL,0.13,0.00,0.13
2020,1,,Cristiano Vale,PL,PA,TELEFONIA,00000000000006,RAMAL,6.33,0.00,6.33
2020,1,,Afonso Hamm,PP,RS,TELEFONIA,00000000000006,RAMAL,8.26,0.00,8.26
2020,1,,Vicentinho Júnior,PL,TO,TELEFONIA,00000000000006,RAMAL,7.63,0.00,7.63
2020,1,,Dagoberto Nogueira,PDT,MS,TELEFONIA,00000000000006,RAMAL,0.36,0.00,0.36
2020,1,,Beto Faro,PT,PA,TELEFONIA,00000000000006,RAMAL,4.64,0.00,4.64
2020,1,,Arnaldo Jardim,CIDADANIA,SP,TELEFONIA,00000000000006,RAMAL,41.61,0.00,41.61
2020,1,,Carlos Zarattini,PT,SP,TELEFONIA,00000000000006,RAMAL,7.51,0.00,7.51
2020,1,,Carlos Bezerra,MDB,MT,TELEFONIA,00000000000006,RAMAL,14.24,0.00,14.24
2020,1,,Celso Maldaner,MDB,SC,TELEFONIA,00000000000006,RAMAL,3.74,0.00,3.74
2020,1,,Edio Lopes,PL,RR,TELEFONIA,00000000000006,RAMAL,6.38,0.00,6.38
2020,1,,Eduardo da Fonte,PP,PE,TELEFONIA,00000000000006,RAMAL,6.45,0.00,6.45
2020,1,,Efraim Filho,DEM,PB,TELEFONIA,00000000000006,RAMAL,3.97,0.00,3.97
2020,1,,Fábio Ramalho,MDB,MG,TELEFONIA,00000000000006,RAMAL,22.01,0.00,22.01
2020,1,,Fábio Faria,PSD,RN,TELEFONIA,00000000000006,RAMAL,2.33,0.00,2.33
2020,1,,Flaviano Melo,MDB,AC,TELEFONIA,00000000000006,RAMAL,2.09,0.00,2.09
2020,1,,Fernando Coelho Filho,DEM,PE,TELEFONIA,00000000000006,RAMAL,2.72,0.00,2.72
2020,1,,João Carlos Bacelar,PL,BA,TELEFONIA,00000000000006,RAMAL,25.16,0.00,25.16
2020,1,,João Maia,PL,RN,TELEFONIA,00000000000006,RAMAL,16.64,0.00,16.64
2020,1,,José Airton Félix Cirilo,PT,CE,TELEFONIA,00000000000006,RAMAL,20.31,0.00,20.31
2020,1,,José Guimarães,PT,CE,TELEFONIA,00000000000006,RAMAL,26.57,0.00,26.57
2020,1,,Paulo Teixeira,PT,SP,TELEFONIA,00000000000006,RAMAL,5.69,0.00,5.69
2020,1,,Mauro Nazif,PSB,RO,TELEFONIA,00000000000006,RAMAL,1.84,0.00,1.84
2020,1,,Paulo Abi-Ackel,PSDB,MG,TELEFONIA,00000000000006,RAMAL,31.50,0.00,31.50
2020,1,,Paulo Pereira da Silva,SOLIDARIEDADE,SP,TELEFONIA,00000000000006,RAMAL,7.00,0.00,7.00
2020,1,,Raul Henry,MDB,PE,TELEFONIA,00000000000006,RAMAL,10.30,0.00,10.30
2020,1,,Rodrigo de Castro,PSDB,MG,TELEFONIA,00000000000006,RAMAL,42.34,0.00,42.34
2020,1,,Vanderlei Macris,PSDB,SP,TELEFONIA,00000000000006,RAMAL,12.91,0.00,12.91
2020,1,,Neri Geller,PP,MT,TELEFONIA,00000000000006,RAMAL,4.85,0.00,4.85
2020,1,,Marcelo Aro,PP,MG,TELEFONIA,00000000000006,RAMAL,11.39,0.00,11.39
2020,1,,Tiago Dimas,SOLIDARIEDADE,TO,TELEFONIA,00000000000006,RAMAL,2.60,0.00,2.60
2020,1,,Domingos Neto,PSD,CE,TELEFONIA,00000000000006,RAMAL,14.58,0.00,14.58
2020,1,,Márcio Marinho,REPUBLICANOS,BA,TELEFONIA,00000000000006,RAMAL,1.83,0.00,1.83
2020,1,,Laercio Oliveira,PP,SE,TELEFONIA,00000000000006,RAMAL,0.64,0.00,0.64
2020,1,,Glauber Braga,PSOL,RJ,TELEFONIA,00000000000006,RAMAL,0.21,0.00,0.21
2020,1,,Roberto Alves,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,6.22,0.00,6.22
2020,1,,Milton Vieira,REPUBLICANOS,SP,TELEFONIA,00000000000006,RAMAL,8.04,0.00,8.04
2020,1,,Marcel van Hattem,NOVO,RS,TELEFONIA,00000000000006,RAMAL,7.50,0.00,7.50
2020,1,,Túlio Gadêlha,PDT,PE,TELEFONIA,00000000000006,RAMAL,7.81,0.00,7.81
2020,1,,Assis Carvalho,PT,PI,TELEFONIA,00000000000006,RAMAL,3.35,0.00,3.35
2020,1,,Afonso Florence,PT,BA,TELEFONIA,00000000000006,RAMAL,6.58,0.00,6.58
2020,1,,Luis Tibé,AVANTE,MG,TELEFONIA,00000000000006,RAMAL,3.37,0.00,3.37
2020,1,,Alessandro Molon,PSB,RJ,TELEFONIA,00000000000006,RAMAL,4.69,0.00,4.69
2020,1,,Aureo Ribeiro,SOLIDARIEDADE,RJ,TELEFONIA,00000000000006,RAMAL,20.33,0.00,20.33
2020,1,,Weliton Prado,PROS,MG,TELEFONIA,00000000000006,RAMAL,2.70,0.00,2.70
2020,1,,Aguinaldo Ribeiro,PP,PB,TELEFONIA,00000000000006,RAMAL,7.33,0.00,7.33
2020,1,,Danilo Cabral,PSB,PE,TELEFONIA,00000000000006,RAMAL,7.49,0.00,7.49
2020,1,,Jhonatan de Jesus,REPUBLICANOS,RR,TELEFONIA,00000000000006,RAMAL,0.91,0.00,0.91
2020,1,,Lauriete,PL,ES,TELEFONIA,00000000000006,RAMAL,10.79,0.00,10.79
2020,1,,Marcon,PT,RS,TELEFONIA,00000000000006,RAMAL,2.97,0.00,2.97
2020,1,,Bohn Gass,PT,RS,TELEFONIA,00000000000006,RAMAL,0.28,0.00,0.28
2020,1,,Arthur Lira,PP,AL,TELEFONIA,00000000000006,RAMAL,7.26,0.00,7.26
2020,1,,Alexandre Leite,DEM,SP,TELEFONIA,00000000000006,RAMAL,1.05,0.00,1.05
2020,1,,Danrlei de Deus Hinterholz,PSD,RS,TELEFONIA,00000000000006,RAMAL,5.17,0.00,5.17
2020,1,,Antonio Brito,PSD,BA,TELEFONIA,00000000000006,RAMAL,21.29,0.00,21.29
2020,1,,Padre João,PT,MG,TELEFONIA,00000000000006,RAMAL,10.03,0.00,10.03
2020,1,,Paulo Freire Costa,PL,SP,TELEFONIA,00000000000006,RAMAL,6.71,0.00,6.71
2020,1,,Alceu Moreira,MDB,RS,TELEFONIA,00000000000006,RAMAL,4.37,0.00,4.37
2020,1,,Waldenor Pereira,PT,BA,TELEFONIA,00000000000006,RAMAL,11.09,0.00,11.09
2020,1,,Jerônimo Goergen,PP,RS,TELEFONIA,00000000000006,RAMAL,2.26,0.00,2.26
2020,1,,Erika Kokay,PT,DF,TELEFONIA,00000000000006,RAMAL,17.27,0.00,17.27
2020,1,,Fábio Trad,PSD,MS,TELEFONIA,00000000000006,RAMAL,2.36,0.00,2.36
2020,1,,Diego Andrade,PSD,MG,TELEFONIA,00000000000006,RAMAL,17.07,0.00,17.07
2020,1,,Bruna Furlan,PSDB,SP,TELEFONIA,00000000000006,RAMAL,6.23,0.00,6.23
2020,1,,Zeca Dirceu,PT,PR,TELEFONIA,00000000000006,RAMAL,3.31,0.00,3.31
2020,1,,Flávia Morais,PDT,GO,TELEFONIA,00000000000006,RAMAL,63.16,0.00,63.16
2020,1,,Dimas Fabiano,PP,MG,TELEFONIA,00000000000006,RAMAL,5.61,0.00,5.61
2020,1,,Arthur Oliveira Maia,DEM,BA,TELEFONIA,00000000000006,RAMAL,6.31,0.00,6.31
2020,1,,Pr. Marco Feliciano,PODE,SP,TELEFONIA,00000000000006,RAMAL,2.21,0.00,2.21
2020,1,,Valmir Assunção,PT,BA,TELEFONIA,00000000000006,RAMAL,7.80,0.00,7.80
2020,1,,Pedro Uczai,PT,SC,TELEFONIA,00000000000006,RAMAL,5.26,0.00,5.26
2020,1,,José Nunes,PSD,BA,TELEFONIA,00000000000006,RAMAL,1.58,0.00,1.58
2020,1,,Zé Silva,SOLIDARIEDADE,MG,TELEFONIA,00000000000006,RAMAL,21.98,0.00,21.98
2020,1,,Ruy Carneiro,PSDB,PB,TELEFONIA,00000000000006,RAMAL,2.85,0.00,2.85
2020,1,,Professora Dorinha Seabra Rezende,DEM,TO,TELEFONIA,00000000000006,RAMAL,9.80,0.00,9.80
2020,1,,Eros Biondini,PROS,MG,TELEFONIA,00000000000006,RAMAL,7.97,0.00,7.97
2020,1,,Professora Marcivania,PCdoB,AP,TELEFONIA,00000000000006,RAMAL,2.48,0.00,2.48
2020,1,,Pastor Eurico,PATRIOTA,PE,TELEFONIA,00000000000006,RAMAL,3.65,0.00,3.65
2020,1,,Luiz Carlos,PSDB,AP,TELEFONIA,00000000000006,RAMAL,1.87,0.00,1.87
2020,1,,Rogério Peninha Mendonça,MDB,SC,TELEFONIA,00000000000006,RAMAL,6.19,0.00,6.19
2020,1,,Roberto de Lucena,PODE,SP,TELEFONIA,00000000000006,RAMAL,11.38,0.00,11.38
2020,1,,Ricardo Izar,PP,SP,TELEFONIA,00000000000006,RAMAL,6.94,0.00,6.94
2020,1,,Augusto Coutinho,SOLIDARIEDADE,PE,TELEFONIA,00000000000006,RAMAL,5.71,0.00,5.71
2020,1,,Félix Mendonça Júnior,PDT,BA,TELEFONIA,00000000000006,RAMAL,5.37,0.00,5.37
2020,1,,Guilherme Mussi,PP,SP,TELEFONIA,00000000000006,RAMAL,5.38,0.00,5.38
2020,1,,Genecias Noronha,SOLIDARIEDADE,CE,TELEFONIA,00000000000006,RAMAL,3.39,0.00,3.39
2020,1,,Giovani Cherini,PL,RS,TELEFONIA,00000000000006,RAMAL,4.26,0.00,4.26
2020,1,,Hugo Motta,REPUBLICANOS,PB,TELEFONIA,00000000000006,RAMAL,5.19,0.00,5.19
2020,1,,Domingos Sávio,PSDB,MG,TELEFONIA,00000000000006,RAMAL,10.57,0.00,10.57
2020,1,,Tiririca,PL,SP,TELEFONIA,00000000000006,RAMAL,0.10,0.00,0.10
2020,1,,Emidinho Madeira,PSB,MG,TELEFONIA,00000000000006,RAMAL,5.75,0.00,5.75
2020,1,,Luiz Nishimori,PL,PR,TELEFONIA,00000000000006,RAMAL,4.73,0.00,4.73
2020,1,,Delegado Waldir,PSL,GO,TELEFONIA,00000000000006,RAMAL,6.56,0.00,6.56
2020,1,,Carmen Zanotto,CIDADANIA,SC,TELEFONIA,00000000000006,RAMAL,6.34,0.00,6.34
2020,1,,Magda Mofatto,PL,GO,TELEFONIA,00000000000006,RAMAL,1.01,0.00,1.01
2020,1,,Paulão,PT,AL,TELEFONIA,00000000000006,RAMAL,1.28,0.00,1.28
2020,1,,Margarida Salomão,PT,MG,TELEFONIA,00000000000006,RAMAL,7.91,0.00,7.91
2020,1,,Fabio Reis,MDB,SE,TELEFONIA,00000000000006,RAMAL,9.60,0.00,9.60
2020,1,,Subtenente Gonzaga,PDT,MG,TELEFONIA,00000000000006,RAMAL,6.01,0.00,6.01
2020,1,,Capitão Augusto,PL,SP,TELEFONIA,00000000000006,RAMAL,2.92,0.00,2.92
2020,1,,André Abdon,PP,AP,TELEFONIA,00000000000006,RAMAL,2.54,0.00,2.54
2020,1,,Leandre,PV,PR,TELEFONIA,00000000000006,RAMAL,6.97,0.00,6.97
2020,1,,Alexandre Serfiotis,PSD,RJ,TELEFONIA,00000000000006,RAMAL,11.52,0.00,11.52
2020,1,,Afonso Motta,PDT,RS,TELEFONIA,00000000000006,RAMAL,0.49,0.00,0.49
2020,1,,Alan Rick,DEM,AC,TELEFONIA,00000000000006,RAMAL,2.18,0.00,2.18
2020,1,,Jéssica Sales,MDB,AC,TELEFONIA,00000000000006,RAMAL,0.29,0.00,0.29
2020,1,,Jhc,PSB,AL,TELEFONIA,00000000000006,RAMAL,6.13,0.00,6.13
2020,1,,Marx Beltrão,PSD,AL,TELEFONIA,00000000000006,RAMAL,2.37,0.00,2.37
2020,1,,Elmar Nascimento,DEM,BA,TELEFONIA,00000000000006,RAMAL,3.48,0.00,3.48
2020,1,,Ronaldo Carletto,PP,BA,TELEFONIA,00000000000006,RAMAL,17.99,0.00,17.99
2020,1,,Jorge Solla,PT,BA,TELEFONIA,00000000000006,RAMAL,0.25,0.00,0.25
2020,1,,Luizianne Lins,PT,CE,TELEFONIA,00000000000006,RAMAL,12.41,0.00,12.41
2020,1,,Mário Negromonte Jr.,PP,BA,TELEFONIA,00000000000006,RAMAL,2.95,0.00,2.95
2020,1,,Paulo Azi,DEM,BA,TELEFONIA,00000000000006,RAMAL,3.67,0.00,3.67
2020,1,,Uldurico Junior,PROS,BA,TELEFONIA,00000000000006,RAMAL,1.91,0.00,1.91
2020,1,,Evair Vieira de Melo,PP,ES,TELEFONIA,00000000000006,RAMAL,11.87,0.00,11.87
2020,1,,Helder Salomão,PT,ES,TELEFONIA,00000000000006,RAMAL,19.00,0.00,19.00
2020,1,,Sergio Vidigal,PDT,ES,TELEFONIA,00000000000006,RAMAL,23.96,0.00,23.96
2020,1,,Célio Silveira,PSDB,GO,TELEFONIA,00000000000006,RAMAL,1.58,0.00,1.58
2020,1,,Lucas Vergilio,SOLIDARIEDADE,GO,TELEFONIA,00000000000006,RAMAL,7.40,0.00,7.40
2020,1,,Aluisio Mendes,PSC,MA,TELEFONIA,00000000000006,RAMAL,2.66,0.00,2.66
2020,1,,André Fufuca,PP,MA,TELEFONIA,00000000000006,RAMAL,1.59,0.00,1.59
2020,1,,Newton Cardoso Jr,MDB,MG,TELEFONIA,00000000000006,RAMAL,21.31,0.00,21.31
2020,1,,Hildo Rocha,MDB,MA,TELEFONIA,00000000000006,RAMAL,10.74,0.00,10.74
2020,1,,Juscelino Filho,DEM,MA,TELEFONIA,00000000000006,RAMAL,0.11,0.00,0.11
2020,1,,Zé Carlos,PT,MA,TELEFONIA,00000000000006,RAMAL,0.95,0.00,0.95
2020,1,,Misael Varella,PSD,MG,TELEFONIA,00000000000006,RAMAL,1.17,0.00,1.17
2020,1,,Delegado Éder Mauro,PSD,PA,TELEFONIA,00000000000006,RAMAL,3.40,0.00,3.40
2020,1,,Hélio Leite,DEM,PA,TELEFONIA,00000000000006,RAMAL,16.32,0.00,16.32
2020,1,,Joaquim Passarinho,PSD,PA,TELEFONIA,00000000000006,RAMAL,15.66,0.00,15.66
2020,1,,Pedro Cunha Lima,PSDB,PB,TELEFONIA,00000000000006,RAMAL,2.71,0.00,2.71
2020,1,,Daniel Coelho,CIDADANIA,PE,TELEFONIA,00000000000006,RAMAL,7.73,0.00,7.73
2020,1,,Ricardo Teobaldo,PODE,PE,TELEFONIA,00000000000006,RAMAL,1.58,0.00,1.58
2020,1,,Sebastião Oliveira,PL,PE,TELEFONIA,00000000000006,RAMAL,27.31,0.00,27.31
2020,1,,Tadeu Alencar,PSB,PE,TELEFONIA,00000000000006,RAMAL,4.06,0.00,4.06
2020,1,,Rejane Dias,PT,PI,TELEFONIA,00000000000006,RAMAL,0.82,0.00,0.82
2020,1,,Aliel Machado,PSB,PR,TELEFONIA,00000000000006,RAMAL,2.66,0.00,2.66
2020,1,,Christiane de Souza Yared,PL,PR,TELEFONIA,00000000000006,RAMAL,0.18,0.00,0.18
2020,1,,Diego Garcia,PODE,PR,TELEFONIA,00000000000006,RAMAL,1.96,0.00,1.96
2020,1,,Roman,PSD,PR,TELEFONIA,00000000000006,RAMAL,7.23,0.00,7.23
2020,1,,Luciano Ducci,PSB,PR,TELEFONIA,00000000000006,RAMAL,3.54,0.00,3.54
2020,1,,Sergio Souza,MDB,PR,TELEFONIA,00000000000006,RAMAL,11.62,0.00,11.62
2020,1,,Toninho Wandscheer,PROS,PR,TELEFONIA,00000000000006,RAMAL,36.97,0.00,36.97
2020,1,,Clarissa Garotinho,PROS,RJ,TELEFONIA,00000000000006,RAMAL,1.81,0.00,1.81
2020,1,,Rosangela Gomes,REPUBLICANOS,RJ,TELEFONIA,00000000000006,RAMAL,4.12,0.00,4.12
2020,1,,Soraya Santos,PL,RJ,TELEFONIA,00000000000006,RAMAL,6.21,0.00,6.21
2020,1,,Sóstenes Cavalcante,DEM,RJ,TELEFONIA,00000000000006,RAMAL,0.43,0.00,0.43
2020,1,,Beto Rosado,PP,RN,TELEFONIA,00000000000006,RAMAL,15.30,0.00,15.30
2020,1,,Rafael Motta,PSB,RN,TELEFONIA,00000000000006,RAMAL,1.18,0.00,1.18
2020,1,,Walter Alves,MDB,RN,TELEFONIA,00000000000006,RAMAL,4.27,0.00,4.27
2020,1,,Expedito Netto,PSD,RO,TELEFONIA,00000000000006,RAMAL,3.06,0.00,3.06
2020,1,,Lucio Mosquini,MDB,RO,TELEFONIA,00000000000006,RAMAL,5.45,0.00,5.45
2020,1,,Mariana Carvalho,PSDB,RO,TELEFONIA,00000000000006,RAMAL,2.91,0.00,2.91
2020,1,,Hiran Gonçalves,PP,RR,TELEFONIA,00000000000006,RAMAL,7.25,0.00,7.25
2020,1,,Shéridan,PSDB,RR,TELEFONIA,00000000000006,RAMAL,1.51,0.00,1.51
